=== phase: unique ===
rows 40,000,000
unique positions 31,362,459  (78.4% of rows)
=== phase: label ===
chunks 15,682  remaining 15,682  workers 16  depth=8 (ceiling 150000 nodes)  multipv=4  sort_lines=True
  RATE after 100,000: 681 pos/sec aggregate on 16 cores
  100,000/31,362,459  681/s  eta 12.7h
  200,000/31,362,459  779/s  eta 11.1h
  300,000/31,362,459  821/s  eta 10.5h
  400,000/31,362,459  843/s  eta 10.2h
  500,000/31,362,459  855/s  eta 10.0h
  600,000/31,362,459  862/s  eta 9.9h
  700,000/31,362,459  868/s  eta 9.8h
  800,000/31,362,459  873/s  eta 9.7h
  900,000/31,362,459  858/s  eta 9.9h
  1,000,000/31,362,459  862/s  eta 9.8h
  1,100,000/31,362,459  864/s  eta 9.7h
  1,200,000/31,362,459  866/s  eta 9.7h
  1,300,000/31,362,459  870/s  eta 9.6h
  1,400,000/31,362,459  871/s  eta 9.6h
  1,500,000/31,362,459  873/s  eta 9.5h
  1,600,000/31,362,459  875/s  eta 9.4h
  1,700,000/31,362,459  871/s  eta 9.5h
  1,800,000/31,362,459  872/s  eta 9.4h
  1,900,000/31,362,459  872/s  eta 9.4h
  2,000,000/31,362,459  874/s  eta 9.3h
  2,100,000/31,362,459  876/s  eta 9.3h
  2,200,000/31,362,459  879/s  eta 9.2h
  2,300,000/31,362,459  883/s  eta 9.1h
  2,400,000/31,362,459  884/s  eta 9.1h
  2,500,000/31,362,459  881/s  eta 9.1h
  2,600,000/31,362,459  879/s  eta 9.1h
  2,700,000/31,362,459  878/s  eta 9.1h
  2,800,000/31,362,459  878/s  eta 9.0h
  2,900,000/31,362,459  880/s  eta 9.0h
  3,000,000/31,362,459  882/s  eta 8.9h
  3,100,000/31,362,459  885/s  eta 8.9h
  3,200,000/31,362,459  887/s  eta 8.8h
  3,300,000/31,362,459  889/s  eta 8.8h
  3,400,000/31,362,459  890/s  eta 8.7h
  3,500,000/31,362,459  890/s  eta 8.7h
  3,600,000/31,362,459  891/s  eta 8.7h
  3,700,000/31,362,459  891/s  eta 8.6h
  3,800,000/31,362,459  891/s  eta 8.6h
  3,900,000/31,362,459  890/s  eta 8.6h
  4,000,000/31,362,459  890/s  eta 8.5h
  4,100,000/31,362,459  890/s  eta 8.5h
  4,200,000/31,362,459  889/s  eta 8.5h
  4,300,000/31,362,459  889/s  eta 8.5h
  4,400,000/31,362,459  889/s  eta 8.4h
  4,500,000/31,362,459  889/s  eta 8.4h
  4,600,000/31,362,459  889/s  eta 8.4h
  4,700,000/31,362,459  889/s  eta 8.3h
  4,800,000/31,362,459  886/s  eta 8.3h
  4,900,000/31,362,459  884/s  eta 8.3h
  5,000,000/31,362,459  882/s  eta 8.3h
  5,100,000/31,362,459  881/s  eta 8.3h
  5,200,000/31,362,459  880/s  eta 8.3h
