AI CHESSATHON MATCH LOG
=======================

MATCH
  Round          Rated 37
  Team           Team1
  Colour         White
  Opponent       Solo Man
  Opening        King's Indian Classical
  Start FEN      r1bq1rk1/ppp2pbp/2np1np1/3Pp3/2P1P3/P1N2N2/1P2BPPP/R1BQK2R b KQ - 0 8
  You moved      Second
  Machine        w-3535e1
  Finished       2026-09-06 13:09:21 UTC
  Match ID       7e72bfde-e341-4f86-8716-8a3b38a694c5

INIT
  Ready in       5.1 s
  Budget         90.0 s
  Used           6 percent

CLOCK
  Base           120.0 s plus 0.5 s per move
  Moves          237
  Time used      236.3 s
  Slowest        4.0 s on move 33
  Fastest        0.0 s on move 234
  Average        1.0 s
  Left at end    2.2 s

RESULT
  Drawn by threefold repetition
  Game lasted 467.1 s

MOVES
    #  move          time     clock left
    1  O-O           2.6 s      117.9 s
    2  Be3           3.6 s      114.9 s
    3  Bd2           2.8 s      112.6 s
    4  Ng5           3.6 s      109.5 s
    5  b4            3.7 s      106.2 s
    6  Ne6           1.4 s      105.3 s
    7  dxe6          0.7 s      105.1 s
    8  axb4          1.0 s      104.6 s
    9  Qxa1          1.4 s      103.7 s
   10  Qb1           3.5 s      100.7 s
   11  Nxe4          2.8 s       98.4 s
   12  Nxf6+         3.0 s       95.9 s
   13  b5            3.5 s       92.9 s
   14  Bd3           3.7 s       89.7 s
   15  Be4           2.3 s       87.9 s
   16  f3            3.2 s       85.2 s
   17  g4            3.5 s       82.2 s
   18  Kg2           2.5 s       80.2 s
   19  Bxf4          2.0 s       78.7 s
   20  Re1           3.0 s       76.2 s
   21  gxh5          1.6 s       75.1 s
   22  Kh1           1.8 s       73.7 s
   23  Rg1           1.3 s       72.9 s
   24  Qc1           2.8 s       70.6 s
   25  Qc2           3.7 s       67.4 s
   26  Qd2           2.5 s       65.4 s
   27  Qd5           1.8 s       64.1 s
   28  cxd5          1.8 s       62.8 s
   29  h4            2.6 s       60.7 s
   30  Kh2           2.3 s       58.9 s
   31  Kh3           3.2 s       56.2 s
